union,performance,framing,id,round,overextraction,observer,overext_observed,report,punished,round_profit,group_id
2,1,1,2247211,4,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,4,1,NA,NA,NA,NA,1010,221
2,1,1,2889211,4,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,4,0,NA,NA,NA,NA,990,221
2,1,1,321221,5,0,NA,NA,NA,NA,980,221
2,1,1,642211,5,0,NA,NA,NA,NA,1000,211
2,1,1,963221,5,0,NA,NA,NA,NA,980,221
2,1,1,1284221,5,2,NA,NA,NA,NA,1010,221
2,1,1,1605211,5,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,5,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,5,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,5,1,NA,NA,NA,NA,1000,221
2,1,1,2889211,5,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,5,0,NA,NA,NA,NA,980,221
2,1,1,321221,6,0,NA,NA,NA,NA,970,221
2,1,1,642211,6,0,NA,NA,NA,NA,1000,211
2,1,1,963221,6,0,NA,NA,NA,NA,970,221
2,1,1,1284221,6,5,NA,NA,NA,NA,1040,221
2,1,1,1605211,6,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,6,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,6,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,6,1,NA,NA,NA,NA,980,221
2,1,1,2889211,6,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,6,0,NA,NA,NA,NA,970,221
2,1,1,321221,7,0,NA,NA,NA,NA,980,221
2,1,1,642211,7,0,NA,NA,NA,NA,1000,211
2,1,1,963221,7,0,NA,NA,NA,NA,980,221
2,1,1,1284221,7,2,NA,NA,NA,NA,1010,221
2,1,1,1605211,7,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,7,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,7,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,7,1,NA,NA,NA,NA,1000,221
2,1,1,2889211,7,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,7,0,NA,NA,NA,NA,980,221
2,1,1,321221,8,0,NA,NA,NA,NA,970,221
